safety_value,throttle,steering,current,voltage,IMU[0],IMU[1],IMU[2],velocity,elapsed time,opti x,opti y,opti rot,opti time
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004806281,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.099254132,1.0,1.0,0.0,1667323385.2663124
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.199353695,1.0,1.0,0.0,1667323385.366428
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.299304009,1.0,1.0,0.0,1667323385.4662924
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.399054051,1.0,1.0,0.0,1667323385.5663433
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.498595953,1.0,1.0,0.0,1667323385.6663778
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.598674775,1.0,1.0,0.0,1667323385.766426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.698628188,1.0,1.0,0.0,1667323385.8664443
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.799417735,1.0,1.0,0.0,1667323385.9665194
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.899059534,1.0,1.0,0.0,1667323386.0663552
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.998965025,1.0,1.0,0.0,1667323386.1664762
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.099354267,1.0,1.0,0.0,1667323386.1664762
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.199194909,1.0,1.0,0.0,1667323386.366444
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.2997636799999999,1.0,1.0,0.0,1667323386.366444
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.399748564,1.0,1.0,0.0,1667323386.366444
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.499877215,1.0,1.0,0.0,1667323386.366444
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.599656344,1.0,1.0,0.0,1667323386.366444
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.6998682029999999,1.0,1.0,0.0,1667323386.366444
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.798596144,1.0,1.0,0.0,1667323386.366444
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.898531676,1.0,1.0,0.0,1667323386.366444
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.998867512,1.0,1.0,0.0,1667323386.366444
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.098604679,1.0,1.0,0.0,1667323386.366444
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.199204445,1.0,1.0,0.0,1667323386.366444
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.299357653,1.0,1.0,0.0,1667323386.366444
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.398939371,1.0,1.0,0.0,1667323386.366444
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.498985052,1.0,1.0,0.0,1667323386.366444
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.60011983,1.0,1.0,0.0,1667323386.366444
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.698944092,1.0,1.0,0.0,1667323386.366444
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.798753739,1.0,1.0,0.0,1667323386.366444
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.899301768,1.0,1.0,0.0,1667323386.366444
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.999386311,1.0,1.0,0.0,1667323386.366444
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.098870755,1.0,1.0,0.0,1667323386.366444
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.198490382,1.0,1.0,0.0,1667323386.366444
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.299224139,1.0,1.0,0.0,1667323386.366444
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.398898602,1.0,1.0,0.0,1667323386.366444
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.499057532,1.0,1.0,0.0,1667323386.366444
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.599390507,1.0,1.0,0.0,1667323386.366444
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.699273348,1.0,1.0,0.0,1667323386.366444
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.799360514,1.0,1.0,0.0,1667323386.366444
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.900310994,1.0,1.0,0.0,1667323386.366444
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.000195504,1.0,1.0,0.0,1667323386.366444
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.100532771,1.0,1.0,0.0,1667323386.366444
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.200184584,1.0,1.0,0.0,1667323386.366444
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.299532175,1.0,1.0,0.0,1667323386.366444
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.399789334,1.0,1.0,0.0,1667323386.366444
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.499071122,1.0,1.0,0.0,1667323386.366444
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.5985233789999995,1.0,1.0,0.0,1667323386.366444
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.698580742,1.0,1.0,0.0,1667323386.366444
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.798466444,1.0,1.0,0.0,1667323386.366444
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.898994446,1.0,1.0,0.0,1667323386.366444
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.999397517,1.0,1.0,0.0,1667323386.366444
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.099820376,1.0,1.0,0.0,1667323386.366444
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.198883295,1.0,1.0,0.0,1667323386.366444
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.298798085,1.0,1.0,0.0,1667323386.366444
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.398605347,1.0,1.0,0.0,1667323386.366444
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.499424935,1.0,1.0,0.0,1667323386.366444
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.599350214,1.0,1.0,0.0,1667323386.366444
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.699578286,1.0,1.0,0.0,1667323386.366444
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.79994607,1.0,1.0,0.0,1667323386.366444
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.899121285,1.0,1.0,0.0,1667323386.366444
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.998976946,1.0,1.0,0.0,1667323386.366444
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.098721028,1.0,1.0,0.0,1667323386.366444
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.198696137,1.0,1.0,0.0,1667323386.366444
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.299265147,1.0,1.0,0.0,1667323386.366444
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.400691033,1.0,1.0,0.0,1667323386.366444
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.50163579,1.0,1.0,0.0,1667323386.366444
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.600510598,1.0,1.0,0.0,1667323386.366444
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.699144841,1.0,1.0,0.0,1667323386.366444
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.800281287,1.0,1.0,0.0,1667323386.366444
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.900806666,1.0,1.0,0.0,1667323386.366444
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.000210762,1.0,1.0,0.0,1667323386.366444
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.100493908,1.0,1.0,0.0,1667323386.366444
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.199669838,1.0,1.0,0.0,1667323386.366444
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.298508168,1.0,1.0,0.0,1667323386.366444
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.399419308,1.0,1.0,0.0,1667323386.366444
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.4989151960000004,1.0,1.0,0.0,1667323386.366444
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.598797322,1.0,1.0,0.0,1667323386.366444
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.699239254,1.0,1.0,0.0,1667323386.366444
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.799370766,1.0,1.0,0.0,1667323386.366444
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.899396181,1.0,1.0,0.0,1667323386.366444
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.999516249,1.0,1.0,0.0,1667323386.366444
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.099654913,1.0,1.0,0.0,1667323386.366444
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.199236393,1.0,1.0,0.0,1667323386.366444
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.299341917,1.0,1.0,0.0,1667323386.366444
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.399516583,1.0,1.0,0.0,1667323386.366444
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.499400139,1.0,1.0,0.0,1667323386.366444
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.598914385,1.0,1.0,0.0,1667323386.366444
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.698627234,1.0,1.0,0.0,1667323386.366444
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.79911685,1.0,1.0,0.0,1667323386.366444
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.898886204,1.0,1.0,0.0,1667323386.366444
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.999145031,1.0,1.0,0.0,1667323386.366444
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.099381924,1.0,1.0,0.0,1667323386.366444
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.199428082,1.0,1.0,0.0,1667323386.366444
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.299609661,1.0,1.0,0.0,1667323386.366444
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.399821282,1.0,1.0,0.0,1667323386.366444
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.501453638,1.0,1.0,0.0,1667323386.366444
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.600091219,1.0,1.0,0.0,1667323386.366444
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.700084448,1.0,1.0,0.0,1667323386.366444
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.7996099,1.0,1.0,0.0,1667323386.366444
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.900122166,1.0,1.0,0.0,1667323386.366444
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.999231577,1.0,1.0,0.0,1667323386.366444
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.098741293,1.0,1.0,0.0,1667323386.366444
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.198740006,1.0,1.0,0.0,1667323386.366444
