safety_value,throttle,steering,current,voltage,IMU[0],IMU[1],IMU[2],velocity,elapsed time,hand_made_ping
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.004565716,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.09950924,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.200667382,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.302004576,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.401089907,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.49915575999999995,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.599101544,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.698956967,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.798399687,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.900247574,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.001925946,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.103546858,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.202708006,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.301745892,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.401112318,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.501127959,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.601153374,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.701060057,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.801162482,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.899168253,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.998426199,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.098136187,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.19827652,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.300284148,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.401744366,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.5013477809999998,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.601140738,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.701119423,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.801062823,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.901103735,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.001102925,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.101352215,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.201215268,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.299206496,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.398734331,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.498552561,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.599028349,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.70081234,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.801183701,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.901288987,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.000853777,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.101216078,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.199996233,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.300800801,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.4012260439999995,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.501106263,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.600110293,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.698695898,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.799053669,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.898301363,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.999286652,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.100584984,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.20180583,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.30112505,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.401162386,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.501353503,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.601353169,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.701075077,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.801126004,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.901235819,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.999153853,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.098226786,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.198952914,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.298574448,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.39899087,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.500164986,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.601833105,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.701806307,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.801240683,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.901225806,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.00134182,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.101141215,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.201191903,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.300708533,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.399276018,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.498379946,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.6001672750000004,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.699717045,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.800193549,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.902596951,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.001151801,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.101161957,0.0
