safety_value,throttle,steering,current,voltage,IMU[0],IMU[1],IMU[2],velocity,elapsed time,republished time
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000710964,-0.12948513
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00570941,-0.12948513
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015537977,-0.12948513
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025530577,-0.12948513
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.035737038,-0.12948513
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045656681,-0.12948513
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05749273300000002,-0.12948513
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.065798044,-0.12948513
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0756886,-0.12948513
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08576321600000003,0.0756886
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09596061700000003,0.08576321600000003
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10558271399999997,0.09596061700000003
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11590266199999999,0.10558271399999997
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12588953999999997,0.11590266199999999
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13581538199999998,0.12588953999999997
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14572286599999995,0.13581538199999998
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15580773299999995,0.14572286599999995
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.165821314,0.15580773299999995
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17577838899999998,0.165821314
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18611335699999998,0.17577838899999998
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.195848703,0.18611335699999998
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20574784300000004,0.195848703
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21582889500000002,0.20574784300000004
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22589349700000005,0.21582889500000002
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23580384200000004,0.22589349700000005
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.245806694,0.23580384200000004
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.256273031,0.245806694
