safety_value,throttle,steering,current,voltage,IMU[0],IMU[1],IMU[2],velocity,elapsed time
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000521899
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.097087384
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.197233916
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.297324896
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.398139239
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.497869969
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.597282172
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.697130442
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7969131469999999
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.897101164
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.997321844
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.097172261
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.197501898
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.297846318
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3978958129999999
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.497487784
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.597258091
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6974186900000001
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.797486067
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.89754963
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.997343302
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.096951485
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.197235346
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.297196389
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.397381068
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4979105
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.600440741
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.699341536
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.799356699
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.900194884
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.998550177
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.099025488
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.198341847
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2975425720000002
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.397162438
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.496941567
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.597524405
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.697019816
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.797244072
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.897338867
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.99733758
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.09716177
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1975266940000004
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.297628403
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.398586989
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.499529839
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.599613905
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.699628115
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.797969818
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.89699173
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.997668267
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.097372294
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.197457552
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.299001694
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.398846627
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.499448777
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.599375248
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.698178768
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.797241211
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.897355318
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.997466564
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.097462416
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.197177887
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.297007084
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.397017241
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.496898175
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.597153664
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.697278023
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.796946049
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.896870137
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.996929169
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.096892834
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.196958304
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.297353983
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.397565604
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.498719693
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.597250939
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.697087527
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.797121764
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.897086144
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.998182297
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.099146366
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.199630976
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.299585343
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.399660826
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.499461174
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.599591732
