safety_value,throttle,steering,current,voltage,IMU[0],IMU[1],IMU[2],velocity,elapsed time,republished time
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000749111,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.100202322,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.200357199,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.301157236,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40076327300000003,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.499267817,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5998597139999999,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.699695826,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8001222610000001,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.900976181,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.00143075,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.101996183,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.201265812,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3020842080000001,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3995912069999998,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5009787079999999,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.601700544,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.701911449,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.800191641,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.899384737,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.001310348,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.099825859,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.200051308,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.301158428,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.406058788,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.500308037,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.60111928,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.702262163,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.800897121,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.901737452,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.001826286,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.101711273,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.200709581,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.299576282,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.399742842,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.499390602,-0.141676426
