elapsed time,opti x,opti y,opti theta,safety_value,throttle,steering,current,voltage,IMU[0],IMU[1],IMU[2],endocder velocity,vx,vy,omega,total comp time,solver comp time
0.022608995,1.69477117061615,0.46566566824913,2.30095672607422,1,0.15799702798341,0.285948190098201,1.73000001907349,7.57999992370606,0.46000000834465,0.730000019073486,25.5900001525879,1.3400000333786,0.703435719013214,-0.461109638214111,0.446629762649536,0.034825802,0.027904001
0.04131937,1.69477117061615,0.46566566824913,2.30095672607422,1,0.136008997130015,-0.212041026360966,1.73000001907349,7.57999992370606,0.46000000834465,0.730000019073486,25.5900001525879,1.3400000333786,0.703435719013214,-0.461109638214111,0.446629762649536,0.014420509,0.012033965
0.089192867,1.63490653038025,0.536334753036499,2.25951099395752,1,0.129007267860383,-0.494058267969868,1.45000004768372,7.57999992370606,-0.550000011920929,1.30999994277954,-37.3899993896484,1.3400000333786,0.785648047924042,-0.386846572160721,-0.652578592300415,0.019006491,0.014572722
0.195202112,1.55287027359009,0.645422995090485,2.18432569503784,1,0.129000223187461,-0.99999328555149,1.30999994277954,7.63000011444092,-1.37999999523163,-1.3400000333786,-43.310001373291,1.38999998569489,0.890406668186188,-0.272975921630859,-0.755902111530304,0.024096966,0.021709999
0.29672122,1.47255635261536,0.745904803276062,2.24024271965027,1,0.12900061882581,-0.999998528002946,1.22000002861023,7.63000011444092,-0.140000000596046,-0.180000007152557,26.2199993133545,1.28999996185303,0.933612942695618,-0.279548436403275,0.457625329494476,0.026791095,0.022472632
0.397249221,1.38290178775787,0.819674789905548,2.44487166404724,1,0.129000715393495,-0.999998427897115,1.25,7.65000009536743,-0.680000007152557,3.48000001907349,105.620002746582,1.24000000953674,0.902129650115967,-0.404186815023422,1.84341681003571,0.026204109,0.021675834
0.490067958,1.28796172142029,0.866659045219421,2.65552163124084,1,0.136559647344689,-0.999995843600667,1.02999997138977,7.67999982833862,3.65000009536743,3,123.910003662109,1.19000005722046,0.836381494998932,-0.50259405374527,2.16263747215271,0.019649028,0.017663697
0.587152719,1.22379958629608,0.887590110301971,2.79055380821228,1,0.147633342087616,-0.999993157936291,1.01999998092651,7.67999982833862,0.790000021457672,2.65000009536743,109.139999389648,1.02999997138977,0.777038872241974,-0.549137949943543,1.90485239028931,0.017046451,0.013595447
0.687434196,1.09790706634521,0.899841487407684,3.01708674430847,1,0.152757405081362,-0.99996671580552,1.08000004291534,7.67999982833862,-1.96000003814697,0.129999995231628,98.1699981689453,1.02999997138977,0.699806153774262,-0.585720837116241,1.71338975429535,0.018054723,0.015452478
0.780519962,1.03736317157745,0.894722282886505,3.12920928001404,1,0.166904967408621,-0.58524298480573,1.24000000953674,7.65000009536743,-2.35999989509583,3.84999990463257,98.6900024414063,0.980000019073486,0.657816112041473,-0.591258645057678,1.72246539592743,0.010548591,0.008794109
0.891620159,0.923897325992584,0.86253833770752,-2.97656297683716,1,0.174077864335134,-0.11793684084104,1.22000002861023,7.63000011444092,1.79999995231628,5.67999982833862,91.2399978637695,0.930000007152557,0.603472530841827,-0.558241367340088,1.59243845939636,0.021700382,0.018406769
0.98713088,0.840349674224854,0.826445817947388,-2.80503726005554,1,0.187921157351996,0.522688132433126,1.39999997615814,7.57999992370606,-0.5,0.709999978542328,88.8399963378906,0.980000019073486,0.55620402097702,-0.556097269058228,1.55055046081543,0.0151546,0.012166398
1.078244924,0.784716069698334,0.79235976934433,-2.74654340744019,1,0.190170907653765,0.999927490318108,1.77999997138977,7.57999992370606,2.47000002861023,1.51999998092651,65.5899963378906,0.980000019073486,0.563848733901978,-0.518919169902802,1.14476144313812,0.009738683,0.008109016
1.180206537,0.687865972518921,0.745144426822662,-2.72314929962158,1,0.17999513610319,0.999990568259644,1.94000005722046,7.55000019073486,-0.330000013113022,-1.63999998569489,-31.7900009155273,1.12999999523163,0.621094882488251,-0.450019598007202,-0.55484014749527,0.011719466,0.009250467
