safety_value,throttle,steering,current,voltage,IMU[0],IMU[1],IMU[2],velocity,elapsed time,opti x,opti y,opti rot,opti time
1.0,0.16498306393623352,1.0,1.5,7.050000190734863,-0.2800000011920929,-5.46999979019165,-163.61000061035156,1.7000000476837158,0.099218846,0.0,0.0,0.0,0.0
1.0,0.16498306393623352,1.0,1.4299999475479126,7.050000190734863,-0.25999999046325684,-1.8799999952316284,-158.57000732421875,1.600000023841858,0.199237108,0.0,0.0,0.0,0.0
1.0,0.16498306393623352,0.0,1.350000023841858,7.050000190734863,0.8700000047683716,-5.25,-164.02000427246094,1.440000057220459,0.29920435,0.0,0.0,0.0,0.0
1.0,0.16498306393623352,0.0,1.9800000190734863,7.050000190734863,0.4699999988079071,-7.090000152587891,-144.38999938964844,1.3899999856948853,0.399212837,0.0,0.0,0.0,0.0
1.0,0.16498306393623352,0.0,1.409999966621399,7.050000190734863,-1.1100000143051147,-1.100000023841858,-29.8700008392334,1.3899999856948853,0.49921250399999995,0.0,0.0,0.0,0.0
1.0,0.08249153196811676,0.0,1.2999999523162842,7.050000190734863,0.4099999964237213,-1.7400000095367432,12.84000015258789,1.340000033378601,0.599210739,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.6499999761581421,7.050000190734863,-5.360000133514404,-0.12999999523162842,21.200000762939453,1.340000033378601,0.699246407,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.17000000178813934,7.130000114440918,-1.440000057220459,1.0700000524520874,16.229999542236328,1.2400000095367432,0.799195051,0.0,0.0,0.0,0.0
1.0,0.16498306393623352,0.4742271304130554,0.10999999940395355,7.130000114440918,-0.8799999952316284,0.6399999856948853,19.34000015258789,1.190000057220459,0.899393559,0.0,0.0,0.0,0.0
1.0,0.25775933265686035,0.8144474625587463,1.1299999952316284,7.150000095367432,-2.9800000190734863,-1.159999966621399,16.020000457763672,1.190000057220459,0.999222994,0.0,0.0,0.0,0.0
1.0,0.3814813792705536,0.7113559246063232,2.069999933242798,7.079999923706055,-0.8399999737739563,-1.0399999618530273,-64.70999908447266,1.1299999952316284,1.099228382,0.0,0.0,0.0,0.0
1.0,0.3814813792705536,0.6494949460029602,2.559999942779541,6.929999828338623,3.5399999618530273,-1.7999999523162842,-99.69999694824219,1.340000033378601,1.19919467,0.0,0.0,0.0,0.0
