safety_value,throttle,steering,current,voltage,IMU[0],IMU[1],IMU[2],velocity,elapsed time,opti x,opti y,opti rot,opti time
1.0,0.0,1.0,0.7900000214576721,7.300000190734863,-0.3400000035762787,-5.53000020980835,-151.89999389648438,1.2400000095367432,0.09923458100000004,0.0,0.0,0.0,0.0
1.0,0.0,1.0,0.25,7.429999828338623,-0.23000000417232513,-2.7799999713897705,-128.6699981689453,1.190000057220459,0.19919037799999995,0.0,0.0,0.0,0.0
1.0,0.0,1.0,0.25,7.429999828338623,-2.059999942779541,-0.9900000095367432,-97.29000091552734,0.9300000071525574,0.29919552800000004,0.0,0.0,0.0,0.0
1.0,0.0,1.0,0.25,7.429999828338623,-1.350000023841858,-1.5,-78.87999725341797,0.8799999952316284,0.39920520699999995,0.0,0.0,0.0,0.0
1.0,0.0,1.0,0.25,7.429999828338623,-0.6499999761581421,-1.7200000286102295,-66.9000015258789,0.6200000047683716,0.49920415799999995,0.0,0.0,0.0,0.0
1.0,0.0,1.0,0.2199999988079071,7.429999828338623,-1.7699999809265137,-1.4900000095367432,-45.0099983215332,0.46000000834465027,0.599199295,0.0,0.0,0.0,0.0
1.0,-0.11337625980377197,1.0,0.18000000715255737,7.429999828338623,-2.059999942779541,-0.09000000357627869,-19.600000381469727,0.3100000023841858,0.699184417,0.0,0.0,0.0,0.0
1.0,-0.4845423698425293,1.0,0.18000000715255737,7.429999828338623,-1.5399999618530273,0.05999999865889549,-6.489999771118164,0.10000000149011612,0.7991991039999999,0.0,0.0,0.0,0.0
1.0,-0.7319559454917908,0.9897152781486511,0.18000000715255737,7.429999828338623,0.4099999964237213,-0.3400000035762787,0.38999998569488525,0.0,0.899186134,0.0,0.0,0.0,0.0
1.0,-0.6185491681098938,1.0,0.17000000178813934,7.429999828338623,-0.10000000149011612,0.07999999821186066,1.2999999523162842,0.0,0.999203681,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.25,7.429999828338623,-0.10999999940395355,-0.27000001072883606,-0.15000000596046448,0.0,1.099303007,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.550000011920929,7.380000114440918,-0.27000001072883606,-0.10000000149011612,1.2100000381469727,0.0,1.201032876,0.0,0.0,0.0,0.0
1.0,0.0,-0.8763390183448792,0.3799999952316284,7.429999828338623,-0.05000000074505806,0.1599999964237213,-1.4199999570846558,0.0,1.2991988650000001,0.0,0.0,0.0,0.0
1.0,0.0,-0.8763390183448792,0.6399999856948853,7.380000114440918,-0.3400000035762787,-0.05999999865889549,1.690000057220459,0.0,1.399196147,0.0,0.0,0.0,0.0
1.0,0.0,-0.8763390183448792,0.3799999952316284,7.429999828338623,-0.07999999821186066,0.029999999329447746,0.28999999165534973,0.0,1.4991807929999998,0.0,0.0,0.0,0.0
1.0,0.0,-0.8763390183448792,0.23000000417232513,7.429999828338623,-0.05999999865889549,-0.17000000178813934,0.699999988079071,0.0,1.599194526,0.0,0.0,0.0,0.0
1.0,0.0,-0.8763390183448792,0.1899999976158142,7.429999828338623,0.14000000059604645,0.15000000596046448,1.4700000286102295,0.0,1.699192523,0.0,0.0,0.0,0.0
1.0,0.0,-0.8763390183448792,0.17000000178813934,7.429999828338623,-0.05999999865889549,-0.11999999731779099,-0.23999999463558197,0.0,1.799211025,0.0,0.0,0.0,0.0
1.0,-0.02059999480843544,-0.8763390183448792,0.17000000178813934,7.429999828338623,-0.09000000357627869,0.009999999776482582,2.0399999618530273,0.0,1.899194955,0.0,0.0,0.0,0.0
