safety_value,throttle,steering,current,voltage,IMU[0],IMU[1],IMU[2],velocity,elapsed time
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000575304
0.0,-0.0,0.0,0.0,0.8500000238418579,0.3400000035762787,-0.10999999940395355,1.559999942779541,0.0,0.097944737
0.0,-0.0,0.0,0.0,0.8500000238418579,-0.15000000596046448,0.09000000357627869,0.3400000035762787,0.0,0.198037863
0.0,-0.0,0.0,0.0,0.8500000238418579,0.1599999964237213,0.0,1.3700000047683716,0.0,0.298282147
0.0,-0.0,0.0,0.0,0.8500000238418579,0.05999999865889549,0.10000000149011612,0.5899999737739563,0.0,0.398947001
0.0,-0.0,0.0,0.0,0.8500000238418579,-0.05000000074505806,0.05000000074505806,1.1200000047683716,0.0,0.499032498
0.0,-0.0,0.0,0.0,0.8500000238418579,0.17000000178813934,0.05999999865889549,1.0,0.0,0.59931469
0.0,-0.0,0.0,0.0,0.8500000238418579,-0.28999999165534973,0.09000000357627869,0.6800000071525574,0.0,0.698510409
0.0,-0.0,0.0,0.0,0.8500000238418579,0.25999999046325684,-0.10999999940395355,1.2999999523162842,0.0,0.798461437
0.0,-0.0,0.0,0.0,0.8500000238418579,-0.2199999988079071,0.17000000178813934,0.5400000214576721,0.0,0.89807415
0.0,-0.0,0.0,0.0,0.8500000238418579,0.23000000417232513,-0.029999999329447746,1.2899999618530273,0.0,0.998145819
0.0,-0.0,0.0,0.0,0.8500000238418579,-0.25,0.14000000059604645,0.5199999809265137,0.0,1.098065138
0.0,-0.0,0.0,0.0,0.8500000238418579,0.30000001192092896,-0.18000000715255737,1.5,0.0,1.197916031
0.0,-0.0,0.0,0.0,0.8500000238418579,-0.30000001192092896,0.18000000715255737,0.28999999165534973,0.0,1.298381329
1.0,-0.0,0.0,0.0,0.8500000238418579,0.30000001192092896,-0.18000000715255737,1.4800000190734863,0.0,1.39887476
1.0,-0.0,0.0,0.0,0.8500000238418579,-0.25999999046325684,0.1899999976158142,0.46000000834465027,0.0,1.499201775
1.0,-0.0,0.0,0.0,0.8500000238418579,0.28999999165534973,-0.11999999731779099,1.5,0.0,1.5988767149999998
1.0,0.03082580491900444,0.0,0.0,0.8500000238418579,-0.28999999165534973,0.17000000178813934,0.5899999737739563,0.0,1.698919058
1.0,0.12999999523162842,0.0,0.0,0.8500000238418579,0.3100000023841858,-0.1599999964237213,1.4800000190734863,0.0,1.798766613
1.0,0.12999999523162842,0.0,0.0,0.8500000238418579,0.3499999940395355,0.019999999552965164,1.0299999713897705,0.0,1.899118185
1.0,0.12999999523162842,0.0,0.0,0.8500000238418579,0.5699999928474426,-0.009999999776482582,1.3300000429153442,0.0,1.998888731
1.0,0.12999999523162842,0.0,0.0,0.8500000238418579,0.6299999952316284,0.23999999463558197,0.49000000953674316,0.15000000596046448,2.098456621
